Running for 470.0 seconds (47 samples at 10.0 second intervals).
Power measurements will start in 2 seconds time.

Waiting 2 seconds before starting (gathering samples). 
Waiting 1 seconds before starting (gathering samples). 
                                                                               
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
06:44:38   0.0   0.0   0.0  99.9   0.0    1    127     43   7.36 
06:44:48   0.1   0.0   0.1  99.9   0.0    1    128     42   7.13 
06:44:58   0.0   0.0   0.1  99.9   0.0    1    128     42   7.10 
06:45:08   0.4   0.0   0.1  99.5   0.0    1    160     55   7.18 
06:45:18   0.1   0.0   0.1  99.8   0.0    1    147     53   7.11 
06:45:28   0.1   0.0   0.1  99.9   0.0    1    126     42   7.09 
06:45:38   0.1   0.0   0.1  99.9   0.0    1    131     43   7.08 
06:45:48   0.1   0.0   0.1  99.8   0.0    1    178     53   7.10 
06:45:58   0.1   0.0   0.1  99.9   0.0    1    123     40   7.08 
06:46:08   0.1   0.0   0.0  99.9   0.0    1    144     46   7.24 
06:46:18   0.1   0.0   0.1  99.9   0.0    1    125     42   7.12 
06:46:28   0.1   0.0   0.1  99.9   0.0    1    124     41   7.09 
06:46:38   0.1   0.0   0.1  99.9   0.0    1    123     41   7.08 
06:46:48   0.0   0.0   0.1  99.9   0.0    1    123     42   7.08 
06:46:58   0.0   0.0   0.1  99.9   0.0    1    124     41   7.07 
06:47:08   0.1   0.0   0.1  99.9   0.0    1    150     48   7.20 
06:47:18   0.1   0.0   0.0  99.9   0.0    1    132     43   7.10 
06:47:28   0.1   0.0   0.0  99.9   0.0    1    127     42   7.08 
06:47:38   0.1   0.0   0.1  99.8   0.0    1    130     44   7.08 
06:47:48   0.2   0.0   0.1  99.8   0.0    1    201     60   7.10 
06:47:58   0.1   0.0   0.0  99.9   0.0    1    133     46   7.09 
06:48:08   0.1   0.0   0.1  99.9   0.0    1    167     55   7.30 
06:48:18   0.1   0.0   0.1  99.9   0.0    1    142     49   7.13 
06:48:28   0.1   0.0   0.1  99.9   0.0    1    156     55   7.09 
06:48:38   0.1   0.0   0.1  99.9   0.0    1    142     47   7.09 
06:48:48   0.1   0.0   0.1  99.9   0.0    1    147     51   7.09 
06:48:58   0.1   0.0   0.1  99.9   0.0    1    146     51   7.09 
06:49:08   0.1   0.0   0.1  99.8   0.0    1    160     54   7.13 
06:49:18   0.1   0.0   0.1  99.9   0.0    1    141     49   7.09 
06:49:28   0.1   0.0   0.1  99.8   0.0    1    155     62   7.08 
06:49:38   0.4   0.0   0.3  99.3   0.0    1    302    212   7.19 
06:49:48   0.1   0.0   0.1  99.8   0.0    1    182     57   7.16 
06:49:58   0.1   0.0   0.1  99.9   0.0    1    127     45   7.09 
06:50:08   0.1   0.0   0.0  99.9   0.0    1    148     48   7.22 
06:50:18   0.1   0.0   0.1  99.8   0.0    1    142     51   7.10 
06:50:28   0.0   0.0   0.1  99.9   0.0    1    123     41   7.08 
06:50:38   0.1   0.0   0.1  99.9   0.0    1    128     44   7.07 
06:50:48   0.1   0.0   0.1  99.9   0.0    1    130     44   7.08 
06:50:58   0.1   0.0   0.1  99.9   0.0    1    123     40   7.07 
06:51:08   0.0   0.0   0.1  99.9   0.0    1    145     47   7.34 
06:51:18   0.1   0.0   0.1  99.9   0.0    1    122     41   7.12 
06:51:28   0.1   0.0   0.1  99.8   0.0    1    141     59   7.11 
06:51:38   0.1   0.0   0.1  99.8   0.0    1    134     46   7.08 
06:51:48   0.1   0.0   0.0  99.8   0.0    1    187     53   7.09 
06:51:58   0.1   0.0   0.1  99.9   0.0    1    126     41   7.07 
06:52:08   0.0   0.0   0.1  99.9   0.0    1    149     50   7.17 
06:52:18   0.1   0.0   0.0  99.9   0.0    1    126     42   7.10 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Average   0.1   0.0   0.1  99.9   0.0  1.0  144.1   50.6   7.12 
 GeoMean   0.1   0.0   0.1  99.9   0.0  1.0  141.9   48.3   7.12 
  StdDev   0.1   0.0   0.0   0.1   0.0  0.0   29.7   24.4   0.07 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Minimum   0.0   0.0   0.0  99.3   0.0  1.0  122.5   40.1   7.07 
 Maximum   0.4   0.0   0.3  99.9   0.0  1.0  301.6  211.5   7.36 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
Summary:
System:   7.12 Watts on average with standard deviation 0.07  
