Running for 470.0 seconds (47 samples at 10.0 second intervals).
Power measurements will start in 2 seconds time.

Waiting 2 seconds before starting (gathering samples). 
Waiting 1 seconds before starting (gathering samples). 
                                                                               
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
21:55:36  80.6   0.0  19.4   0.0   0.0   13  20132   7247  18.20 
21:55:46  79.6   0.0  20.4   0.0   0.0   15  18853   6090  19.11 
21:55:56  80.2   0.0  19.8   0.0   0.0   13  18616   5818  19.47 
21:56:06  79.5   0.0  20.5   0.0   0.0   14  18711   5863  19.59 
21:56:16  80.0   0.0  20.0   0.0   0.0   11  18994   6000  19.60 
21:56:26  78.3   0.0  21.7   0.0   0.0   11  19968   6443  19.71 
21:56:36  79.7   0.0  20.3   0.0   0.0   13  20853   6957  19.89 
21:56:46  78.6   0.0  21.4   0.0   0.0   11  20494   7240  19.83 
21:56:56  79.2   0.0  20.8   0.0   0.0   12  19731   6543  19.80 
21:57:06  79.5   0.0  20.5   0.0   0.0   11  19931   6684  19.82 
21:57:16  78.1   0.0  21.9   0.0   0.0   11  21112   6909  19.90 
21:57:26  79.0   0.0  21.0   0.0   0.0   12  20641   6676  19.91 
21:57:36  79.2   0.0  20.8   0.0   0.0   11  19268   5932  19.91 
21:57:46  79.4   0.0  20.6   0.0   0.0   11  19188   5895  19.77 
21:57:56  79.6   0.0  20.4   0.0   0.0   14  19212   5900  19.82 
21:58:06  78.8   0.0  21.2   0.0   0.0   12  21655   8062  19.93 
21:58:16  79.5   0.0  20.5   0.0   0.0   11  19437   5953  19.90 
21:58:26  78.6   0.0  21.4   0.0   0.0   13  19438   5952  19.91 
21:58:36  79.1   0.0  20.9   0.0   0.0   11  19428   5958  19.91 
21:58:46  78.3   0.0  21.7   0.0   0.0   11  21154   7812  19.91 
21:58:56  78.2   0.0  21.8   0.0   0.0   11  21463   7733  19.86 
21:59:06  78.5   0.0  21.5   0.0   0.0   11  20605   6529  19.72 
21:59:16  79.1   0.0  20.9   0.0   0.0   11  19421   5953  19.75 
21:59:26  79.4   0.0  20.6   0.0   0.0   11  19501   6036  19.77 
21:59:36  79.1   0.0  20.9   0.0   0.0   11  19519   5963  19.79 
21:59:46  78.5   0.0  21.5   0.0   0.0   12  20026   6263  19.85 
21:59:56  79.5   0.0  20.5   0.0   0.0   11  19424   5994  19.96 
22:00:06  78.1   0.0  21.9   0.0   0.0   11  26109   6447  20.02 
22:00:16  78.8   0.0  21.2   0.0   0.0   11  26938   6014  20.07 
22:00:26  79.1   0.0  20.9   0.0   0.0   11  27508   6603  20.06 
22:00:36  78.5   0.0  21.5   0.0   0.0   11  26906   5951  20.08 
22:00:46  78.9   0.0  21.1   0.0   0.0   12  26939   5945  20.04 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
22:00:56  77.9   0.0  22.1   0.0   0.0   12  26975   5974  20.07 
22:01:06  78.7   0.0  21.3   0.0   0.0   12  26549   6309  20.07 
22:01:16  79.8   0.0  20.2   0.0   0.0   11  27658   6657  20.00 
22:01:26  79.2   0.0  20.8   0.0   0.0   11  26711   5913  20.05 
22:01:36  79.0   0.0  21.0   0.0   0.0   11  21768   6783  20.09 
22:01:46  77.9   0.0  22.1   0.0   0.0   11  22404   8969  20.10 
22:01:56  77.9   0.0  22.1   0.0   0.0   12  20244   6977  20.04 
22:02:06  78.3   0.0  21.7   0.0   0.0   11  19479   6329  20.10 
22:02:16  79.2   0.0  20.8   0.0   0.0   13  19047   5997  20.05 
22:02:26  78.9   0.0  21.1   0.0   0.0   11  18888   5854  20.09 
22:02:36  80.1   0.0  19.9   0.0   0.0   11  18918   5891  20.09 
22:02:46  79.5   0.0  20.5   0.0   0.0   11  18910   5888  20.07 
22:02:56  79.0   0.0  21.0   0.0   0.0   11  18948   5894  20.01 
22:03:06  79.7   0.0  20.3   0.0   0.0   11  18896   5822  19.92 
22:03:16  78.8   0.0  21.2   0.0   0.0   11  18917   5841  19.91 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Average  79.0   0.0  21.0   0.0   0.0 11.6 21180.6 6392.8  19.86 
 GeoMean  79.0   0.0  21.0   0.0   0.0 11.6 20997.8 6360.4  19.86 
  StdDev   0.6   0.0   0.6   0.0   0.0  1.0 2930.9  679.3   0.31 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Minimum  77.9   0.0  19.4   0.0   0.0 11.0 18616.1 5818.0  18.20 
 Maximum  80.6   0.0  22.1   0.0   0.0 15.0 27657.5 8968.8  20.10 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
Summary:
System:  19.86 Watts on average with standard deviation 0.31  
